route_id,origin,destination,original_flood_prob,alternative_flood_prob,risk_reduction,original_time_s,alternative_time_s,extra_time_min
40201002311,Civil Servant/Deliverance Church,Gill House,0.448,0.448,0.0,562.8864303181922,562.8864303181922,0.0
40301707111,Donholm,Muthurwa,0.468,0.468,0.0,472.30633971187314,472.30633971187314,0.0
40401001011,Rabai,Muthurwa,0.54,0.54,0.0,378.4740430727437,378.4740430727437,0.0
40403002611,Kanisani,Aquinas,0.586,0.491,0.095,376.1591068294927,410.11481860416,0.6
40501002611,Kanisani,Makadara/Mwisho,0.568,0.483,0.085,397.24509840034614,426.3412402861621,0.5
40601003611,Dandora Terminal,City Stadium,0.484,0.409,0.075,750.2367405864463,804.6919828345256,0.9
40601005811,Buru Roundabout,Kencom/Ambassadeur,0.501,0.501,0.0,495.02978773117513,495.02978773117513,0.0
40700003411,JKIA - Passenger Boarding,Kencom/Ambassadeur,0.483,0.485,-0.002,915.6455129090374,942.8729404467736,0.5
40700033C11,Cabanas,Commercial,0.478,0.473,0.005,644.7935520059782,679.9934431306399,0.6
40701003311,Gate B,Commercial,0.46,0.439,0.022,937.0228212203018,949.0675714646114,0.2
